Seat No,DAA,APP,C++,DBSY,CALC,STAT,E-COM,PR201,PR202,PR203,PR204,PR205,PR206
20001,8,8,7,7,4,4,6,10,10,9,10,4,8
20002,0,0,0,0,0,0,0,0,0,0,0,0,0
20003,10,10,10,9,8,10,10,10,10,10,10,8,10
20004,0,0,0,0,0,0,0,0,0,0,0,0,0
20005,7,8,7,8,8,10,8,8,10,10,10,6,9
20006,5,5,0,5,0,5,8,0,4,6,6,0,5
20007,6,7,7,7,6,8,8,10,4,9,10,8,8
20008,5,5,6,5,4,7,8,4,6,6,6,4,8
20009,8,10,9,9,10,10,8,10,10,10,10,9,10
20010,0,0,0,4,0,0,6,0,0,9,7,0,0
20011,0,0,0,0,0,0,0,0,0,0,0,0,0
20012,0,0,0,0,0,0,0,0,0,0,0,0,0
20013,0,0,0,0,0,0,0,0,0,0,0,0,0
20014,0,0,4,4,0,4,6,0,0,0,7,0,0
20015,0,0,0,4,0,5,4,6,4,0,8,0,4
20016,0,0,0,0,0,0,0,0,0,0,0,0,0
20017,0,0,0,0,0,0,0,0,0,0,0,0,0
20018,5,8,6,5,4,4,7,10,10,10,10,4,10
20019,6,10,9,8,7,9,8,9,8,9,10,10,6
20020,4,4,6,5,0,4,8,9,4,8,9,4,4
20021,4,4,5,5,4,5,7,4,8,8,8,4,5
20022,0,0,0,0,0,0,4,0,0,6,8,0,0
20023,4,7,4,7,0,4,7,0,7,4,9,4,0
20024,6,9,7,5,4,6,8,10,8,4,8,4,4
20025,0,0,0,0,0,0,0,0,0,0,0,4,0
20026,0,0,4,4,0,0,5,6,6,6,9,0,8
20027,0,0,0,0,0,0,0,0,0,0,0,0,0
20028,0,0,0,0,0,0,0,0,0,0,0,0,0
20029,0,0,0,0,0,0,4,0,0,0,0,0,0
20030,8,10,10,8,10,10,10,10,8,10,10,10,10
20031,8,8,7,7,5,5,5,10,10,10,10,4,10
20032,0,0,0,0,0,0,0,0,0,0,0,0,0
20033,4,7,6,6,4,5,8,9,0,0,8,4,7
20034,10,10,10,9,10,10,10,10,10,10,10,10,10
20035,7,6,6,5,0,5,8,10,10,9,9,0,9
20036,4,0,5,8,8,8,6,6,6,9,10,6,5
20037,4,6,4,6,0,5,7,4,0,9,5,4,10
20038,0,0,0,0,0,0,0,0,0,0,10,0,0
20039,4,6,6,7,6,8,8,10,8,9,0,5,10
20040,4,4,4,7,0,5,7,8,0,4,10,0,6
20041,4,4,4,4,4,5,6,4,7,6,10,4,8
20042,4,0,7,7,4,6,7,4,7,9,10,4,9
20043,4,0,4,4,0,7,6,4,0,10,9,5,9
20044,4,8,8,7,9,8,10,10,8,10,10,7,8
20045,4,5,7,5,4,5,8,8,4,7,10,4,0
20046,7,10,10,9,10,10,9,9,10,10,10,10,10
20047,4,4,6,5,0,5,6,10,8,9,8,6,8
20048,5,4,4,6,5,7,4,9,6,8,8,8,9
20049,0,0,0,0,0,4,4,0,0,0,0,0,0
20050,0,0,0,4,4,5,4,10,6,7,6,4,4
20051,0,0,5,5,0,5,7,0,7,4,10,4,4
20052,4,5,5,4,4,5,7,8,6,6,8,4,7
20053,4,4,4,4,4,6,5,6,6,4,6,4,10
20054,10,10,10,9,10,10,10,10,9,10,10,9,10
20055,4,4,0,0,0,4,6,9,5,5,8,0,4
20056,4,4,0,4,0,5,8,4,4,4,8,0,4
20057,4,0,4,4,4,7,5,4,4,6,10,5,0
20058,5,9,8,8,5,10,8,7,8,4,10,7,8
20059,6,10,8,8,10,10,9,4,9,10,10,10,10
20060,0,0,0,0,0,0,4,0,0,4,6,4,4
20061,4,8,8,7,9,10,9,10,10,10,10,10,10
20062,0,0,0,4,0,0,4,0,0,0,0,0,0
20063,0,0,0,0,0,0,4,0,0,0,7,0,0
