Seat No,TOC,TOCPR,CN,CNPR,SE,SEPR,IOT,IOTPR,ANDAD,ANDPR,ADVAD,ADVPR,RM,Total,CGPA
25001,10,10,10,10,10,10,10,10,16,10,12,10,10,138,6.90
25002,14,9,12,10,8,9,14,10,18,10,16,8,12,150,7.50
25003,14,10,16,10,10,10,12,10,18,10,16,10,12,158,7.90
25004,0,10,8,10,0,8,10,8,10,10,0,8,10,92,0.00
25005,10,10,14,10,12,10,14,10,20,10,14,8,16,158,7.90
25006,12,10,12,10,10,8,18,10,20,9,16,8,14,157,7.85
25007,0,4,0,10,0,9,8,10,8,8,0,4,8,69,0.00
25008,14,8,12,10,12,10,16,10,18,10,18,6,14,158,7.90
25009,16,10,14,10,16,10,16,10,18,10,20,10,18,178,8.90
25010,8,10,0,10,8,9,10,9,12,10,10,9,10,115,0.00
25011,16,10,14,10,18,10,18,10,20,10,20,9,16,181,9.05
25012,12,8,14,10,16,10,20,10,14,8,16,8,16,162,8.10
25013,16,10,12,10,12,10,18,10,16,10,14,9,12,159,7.95
25014,10,0,10,10,10,10,12,10,12,9,8,8,10,119,0.00
25015,10,10,14,10,12,10,16,10,16,10,16,10,16,160,8.00
25016,14,10,12,10,12,10,16,10,14,10,20,5,16,159,7.95
25017,16,10,16,10,14,10,18,10,18,10,16,10,14,172,8.60
25018,0,9,12,9,8,9,8,10,10,10,12,8,8,113,0.00
25019,0,10,10,10,12,10,16,10,16,4,14,9,14,135,0.00
25020,12,6,10,10,8,9,10,4,8,4,14,0,8,103,0.00
25021,12,7,12,10,12,9,12,10,16,10,12,5,8,135,6.75
25022,20,9,20,10,18,10,18,10,18,10,20,10,16,189,9.45
25023,10,9,10,9,8,9,0,10,10,7,0,8,8,98,0.00
25024,20,10,14,10,14,10,14,10,12,8,14,8,10,154,7.70
25025,12,10,12,10,16,10,14,10,16,10,16,8,14,158,7.90
25026,16,10,14,10,12,10,16,10,14,10,18,10,12,162,8.10
25027,16,10,10,10,14,9,16,10,14,10,18,8,12,157,7.85
25028,16,8,14,10,16,10,18,10,16,8,18,6,14,164,8.20
25029,14,10,0,10,10,10,0,10,10,10,10,7,8,109,0.00
25030,8,6,0,9,10,8,0,7,0,7,0,8,10,73,0.00
25031,18,10,16,10,16,10,16,10,18,10,20,10,16,180,9.00
25032,10,9,10,10,10,10,10,10,10,10,0,0,12,111,0.00
25033,14,10,12,10,12,8,14,10,16,10,16,7,10,149,7.45
25034,16,10,16,10,14,10,14,10,14,4,18,9,16,161,8.05
25035,10,10,12,10,12,10,14,10,10,10,16,6,16,146,7.30
25036,8,4,8,10,10,7,8,8,12,10,10,8,10,113,5.65
25037,14,10,10,10,12,10,12,8,14,10,16,4,14,144,7.20
25038,8,10,8,8,8,10,10,7,8,8,10,8,8,111,5.55
25039,14,10,14,10,16,10,16,10,12,10,16,10,12,160,8.00
25040,10,0,10,10,12,10,10,6,8,9,10,6,12,113,0.00
25041,10,10,10,10,8,8,10,5,14,10,10,4,10,119,5.95
25042,10,9,0,10,10,10,8,8,10,10,0,4,8,97,0.00
25043,8,10,12,10,10,10,12,10,16,10,12,10,10,140,7.00
25044,0,4,0,8,10,8,12,4,12,4,0,0,10,72,0.00
25045,8,10,10,10,12,10,12,4,16,10,8,9,10,129,6.45
25046,16,10,8,10,14,10,18,10,18,10,14,10,16,164,8.20
25047,12,10,16,10,14,10,16,10,18,10,16,10,14,166,8.30
25048,14,10,10,10,14,10,16,10,18,10,16,9,18,165,8.25
25049,10,10,10,10,10,9,14,5,16,10,14,8,12,138,6.90
25050,0,6,0,10,10,10,10,9,8,10,8,8,10,99,0.00
25051,14,10,12,10,14,10,12,10,18,8,18,10,16,162,8.10
25052,10,6,12,10,10,10,16,4,18,10,8,4,10,128,6.40
25053,12,7,14,8,10,10,14,7,16,8,16,8,14,144,7.20
25054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
25055,16,10,16,10,16,10,20,10,20,10,16,9,16,179,8.95
