Seat No,BIOTE,MICRO,BCHEM,BIOCH,GENET,MOLEC,CS,PR1,PR2,PR3,Total
21001,91,73,92,92,85,85,86,89,88,93,874
21002,62,42,65,49,44,44,66,65,93,57,587
21003,75,50,81,78,58,49,75,76,89,80,711
21004,78,54,74,81,63,56,65,79,94,79,723
21005,74,81,65,87,67,73,75,93,90,86,791
21006,86,80,75,80,67,72,63,78,93,87,781
21007,16,19,0,0,0,0,19,0,0,0,54
21008,70,62,80,89,56,57,90,84,88,83,759
21009,65,49,76,77,55,58,75,78,87,83,703
21010,62,70,79,77,51,56,61,88,86,79,709
21011,85,89,68,82,70,72,87,88,92,91,824
21012,85,78,92,94,78,77,91,91,89,92,867
21013,84,63,90,87,66,75,90,94,88,96,833
21014,68,62,48,56,57,50,88,89,83,89,690
21015,62,76,92,81,80,83,84,94,87,95,834
21016,66,59,83,93,64,82,59,91,91,96,784
21017,47,49,42,24,40,41,74,78,85,78,558
21018,92,89,71,69,49,43,84,79,84,89,749
21019,49,33,43,46,40,31,88,81,80,87,578
21020,46,28,49,50,20,10,19,0,0,0,222
21021,44,40,79,81,40,33,58,83,80,77,615
21022,40,41,32,30,22,26,65,68,77,66,467
21023,70,77,90,89,56,56,77,78,88,91,772
21024,96,93,96,97,89,87,97,94,91,94,934
21025,65,51,89,83,57,57,64,85,92,77,720
21026,0,0,0,0,0,0,0,0,0,0,0
21027,31,31,25,24,19,26,56,81,77,54,424
21028,0,0,0,0,0,0,0,0,0,0,0
21029,82,49,77,82,54,45,86,91,87,59,712
21030,61,43,58,68,40,40,66,78,78,54,586
21031,48,47,50,59,42,46,78,70,82,76,598
21032,79,58,64,82,58,52,72,84,85,72,706
21033,13,9,2,7,0,4,0,0,0,0,35
21034,55,42,43,62,44,49,74,86,90,72,617
21035,76,69,65,72,46,46,77,81,87,80,699
21036,0,0,0,0,0,0,0,0,0,0,0
21037,44,26,27,26,23,42,19,70,59,52,388
21038,77,47,65,70,63,55,74,89,76,74,690
21039,48,50,55,54,51,49,59,76,80,68,590
21040,76,62,86,89,59,68,84,85,80,83,772
21041,93,88,67,72,55,54,77,90,84,79,759
21042,56,46,71,69,54,62,72,80,84,72,666
21043,46,41,30,45,30,44,46,62,79,66,489
