Seat No,DSA,PYTH,LINUX,OST,DMT,DST,SS,PR101,PR102,PR103,PR104,PR105,PR106,Total,CGPA
20001,8,0,8,0,0,0,16,9,0,6,9,7,6,69,0.00
20002,16,18,20,14,18,20,20,9,8,10,10,10,10,183,9.15
20003,10,16,14,10,12,14,10,8,9,10,10,10,10,143,7.15
20004,10,14,12,8,0,14,8,9,8,7,8,9,8,115,0.00
20005,0,0,8,8,0,0,12,4,8,5,9,8,9,71,0.00
20006,16,18,18,12,12,12,16,10,10,10,10,10,10,164,8.20
20007,10,18,20,14,14,16,18,8,10,10,10,10,10,168,8.40
20008,0,0,10,0,0,0,0,0,6,4,10,4,6,40,0.00
20009,10,8,8,10,0,0,16,5,0,4,9,6,8,84,0.00
20010,12,8,18,10,14,0,16,9,10,8,10,9,10,134,0.00
20011,8,10,10,0,8,8,14,9,4,9,9,9,8,106,0.00
20012,14,12,14,8,18,12,16,10,9,8,10,10,8,149,7.45
20013,8,0,0,8,0,0,12,9,9,4,8,4,10,72,0.00
20014,0,8,14,14,0,0,18,5,6,4,8,6,6,89,0.00
20015,0,0,0,8,0,0,10,0,0,0,8,4,4,34,0.00
20016,10,14,12,14,16,14,16,8,0,10,10,9,10,143,0.00
20017,0,0,12,0,0,0,12,4,7,10,9,8,8,70,0.00
20018,12,18,16,14,20,20,12,5,10,10,10,10,10,167,8.35
20019,0,0,8,10,0,0,12,6,10,4,10,4,8,72,0.00
20020,0,0,0,8,0,0,8,4,0,0,8,5,0,33,0.00
20021,10,12,10,8,0,8,8,0,6,7,9,7,4,89,0.00
20022,0,10,8,0,0,0,14,8,4,9,10,6,8,77,0.00
20023,14,20,16,12,20,18,16,8,10,10,10,8,10,172,8.60
20024,0,18,16,14,0,0,16,9,10,10,10,9,10,122,0.00
20025,0,0,0,0,10,8,12,8,7,9,10,8,8,80,0.00
20026,0,0,8,10,0,0,12,5,7,10,10,6,8,76,0.00
20027,0,0,0,0,0,0,8,4,0,0,0,0,0,12,0.00
20028,0,0,8,10,0,0,8,0,0,4,10,4,8,52,0.00
20029,10,14,14,10,10,8,16,7,4,4,10,6,4,117,5.85
20030,0,0,0,0,0,0,8,0,0,0,8,4,0,20,0.00
20031,10,16,0,10,14,8,12,5,0,4,9,4,8,100,0.00
20032,12,16,14,10,14,14,18,10,4,8,10,9,8,147,7.35
20033,0,0,0,8,0,0,8,7,7,8,9,5,4,56,0.00
20034,8,0,8,10,0,10,12,8,4,4,9,9,0,82,0.00
20035,20,16,16,10,16,14,18,10,8,10,10,10,10,168,8.40
20036,10,10,8,10,0,0,10,4,8,4,8,4,8,84,0.00
20037,16,16,14,10,18,14,16,10,9,9,9,10,8,159,7.95
20038,16,16,20,16,20,18,20,8,10,10,10,10,10,184,9.20
20039,10,10,14,14,10,8,16,4,7,10,10,10,10,133,6.65
20040,10,10,16,16,0,8,14,4,9,4,9,8,9,117,0.00
20041,12,14,16,10,10,12,12,6,4,10,8,9,9,132,6.60
20042,14,18,20,12,14,20,16,8,10,10,10,10,10,172,8.60
20043,0,8,8,8,0,0,10,9,8,9,8,5,10,83,0.00
20044,18,20,20,14,20,20,20,10,10,10,10,10,10,192,9.60
20045,12,14,12,8,0,10,16,6,8,6,9,8,9,118,0.00
20046,0,0,8,0,0,0,10,9,0,6,8,4,5,50,0.00
20047,10,12,14,10,12,16,12,9,7,10,10,8,10,140,7.00
20048,10,16,14,10,10,10,12,9,9,10,10,8,10,138,6.90
20049,0,0,0,0,0,0,12,7,4,0,4,8,8,43,0.00
20050,14,16,12,12,8,12,18,9,4,5,8,10,8,136,6.80
20051,0,0,8,10,0,0,14,4,0,10,9,6,4,65,0.00
20052,12,18,18,14,20,20,18,9,10,10,10,10,10,179,8.95
20053,8,0,12,10,0,12,16,9,0,4,10,5,4,90,0.00
20054,10,20,20,16,10,16,16,8,10,10,10,9,10,165,8.25
20055,10,20,18,14,10,14,18,8,10,10,10,9,10,161,8.05
20056,16,16,18,14,20,20,16,10,10,10,9,10,10,179,8.95
20057,10,10,12,10,10,12,16,10,4,4,10,10,4,122,6.10
20058,8,0,10,10,0,10,14,7,6,5,10,6,0,86,0.00
20059,8,8,10,12,0,0,14,6,0,4,10,6,4,82,0.00
20060,0,8,12,0,0,0,10,6,8,4,10,7,4,69,0.00
20061,20,20,20,14,20,20,20,10,10,10,10,10,10,194,9.70
20062,0,0,0,0,0,0,10,4,0,4,8,5,0,31,0.00
20063,14,14,16,12,0,8,16,10,8,10,9,6,4,127,0.00
20064,10,10,14,12,8,10,14,6,8,10,10,10,10,132,6.60
20065,20,18,16,12,16,10,18,10,4,8,10,10,6,158,7.90
20066,0,0,0,0,0,0,8,6,0,0,8,0,0,22,0.00
20067,14,12,12,12,12,16,16,10,6,9,10,9,10,148,7.40
20068,10,12,10,10,14,18,12,8,6,10,9,9,10,138,6.90
20069,12,8,8,0,10,18,12,9,7,10,8,9,8,119,0.00
