Seat No,DAA,APP,C++,DBSY,CALC,STAT,E-COM,PR201,PR202,PR203,PR204,PR205,PR206,Total
20001,60,61,58,56,40,42,54,45,42,35,39,21,34,587
20002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20003,79,86,81,71,67,85,77,49,49,48,49,34,46,821
20004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20005,57,65,57,66,60,79,64,32,40,41,39,26,38,664
20006,45,46,26,45,8,45,62,10,20,26,27,11,23,394
20007,53,58,57,56,52,64,62,38,20,36,43,32,30,601
20008,45,49,50,47,44,56,60,22,25,27,27,21,30,503
20009,67,84,76,75,83,79,67,40,49,37,43,38,48,786
20010,19,29,35,40,10,18,54,10,13,36,29,7,9,309
20011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20014,20,22,41,41,37,43,54,12,12,13,29,12,12,348
20015,19,34,35,40,14,45,42,25,20,15,32,9,20,350
20016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20018,45,63,52,46,41,44,58,42,48,38,43,22,42,584
20019,52,83,76,61,56,74,65,35,30,35,38,37,25,667
20020,41,42,51,47,15,44,67,35,20,30,37,21,20,470
20021,40,43,46,46,36,47,59,22,31,34,33,20,24,481
20022,25,20,19,28,25,27,40,7,14,27,30,9,6,277
20023,42,59,42,55,26,43,56,12,29,20,37,20,8,449
20024,50,72,56,49,40,52,64,42,31,20,34,20,20,550
20025,0,0,0,0,0,0,0,0,0,0,0,20,0,20
20026,30,16,40,40,19,23,46,25,26,26,36,0,33,360
20027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20028,6,3,10,10,10,10,10,0,0,0,0,0,0,59
20029,11,11,7,7,11,1,40,7,1,1,2,1,2,102
20030,69,91,82,66,92,90,79,46,34,41,48,43,48,829
20031,65,67,58,57,47,47,49,48,48,40,48,21,49,644
20032,11,18,11,14,1,10,13,0,0,0,0,0,0,78
20033,44,58,50,54,43,48,64,35,15,12,34,21,28,506
20034,84,90,86,73,94,96,81,47,49,45,48,49,49,891
20035,57,50,50,46,28,47,66,40,43,39,37,14,36,553
20036,44,30,46,67,63,61,54,25,25,39,43,26,24,547
20037,43,50,42,52,27,48,56,20,13,39,23,22,42,477
20038,0,0,0,0,0,0,0,0,0,0,48,0,0,48
20039,43,52,53,59,50,66,63,40,30,35,48,23,40,602
20040,42,40,42,59,24,48,57,30,12,20,45,13,26,458
20041,43,40,41,42,40,47,51,20,29,26,37,20,31,467
20042,43,41,56,55,40,52,56,20,28,38,43,20,37,529
20043,41,22,43,43,38,57,51,20,9,40,36,24,35,459
20044,43,65,66,57,71,69,83,42,33,39,48,29,32,677
20045,44,49,56,48,40,46,64,30,20,29,47,20,10,503
20046,57,87,81,76,99,98,74,35,49,46,49,47,46,844
20047,44,43,50,46,34,47,51,40,31,36,33,26,30,511
20048,46,40,40,52,47,57,40,35,26,30,33,33,35,514
20049,12,11,20,17,15,43,42,10,8,1,5,2,2,188
20050,27,36,23,41,40,45,43,40,25,29,27,21,20,417
20051,30,27,47,45,25,45,59,15,28,22,48,20,22,433
20052,44,48,46,44,40,46,57,30,26,26,33,20,28,488
20053,43,40,40,41,42,51,47,25,27,21,27,22,38,464
20054,78,83,82,73,83,94,81,45,36,42,47,35,48,827
20055,40,40,27,29,16,40,51,38,23,24,31,11,20,390
20056,41,40,30,40,36,45,62,20,20,20,31,12,20,417
20057,42,28,40,42,42,56,45,20,22,26,47,24,11,445
20058,45,74,66,64,47,83,66,28,34,20,49,29,33,638
20059,53,81,61,66,89,90,70,20,36,40,49,43,47,745
20060,13,20,9,10,12,14,44,10,12,20,25,20,20,229
20061,41,66,63,57,74,91,72,38,38,45,49,44,42,720
20062,25,26,18,42,7,21,44,12,15,9,16,11,9,255
20063,27,13,14,30,16,23,40,12,9,14,28,12,8,246
