Seat No,DSA,PYTH,LINUX,OST,DMT,DST,SS,PR101,PR102,PR103,PR104,PR105,PR106
20001,4,0,4,0,0,0,8,9,0,6,9,7,6
20002,8,9,10,7,9,10,10,9,8,10,10,10,10
20003,5,8,7,5,6,7,5,8,9,10,10,10,10
20004,5,7,6,4,0,7,4,9,8,7,8,9,8
20005,0,0,4,4,0,0,6,4,8,5,9,8,9
20006,8,9,9,6,6,6,8,10,10,10,10,10,10
20007,5,9,10,7,7,8,9,8,10,10,10,10,10
20008,0,0,5,0,0,0,0,0,6,4,10,4,6
20009,5,4,4,5,0,0,8,5,0,4,9,6,8
20010,6,4,9,5,7,0,8,9,10,8,10,9,10
20011,4,5,5,0,4,4,7,9,4,9,9,9,8
20012,7,6,7,4,9,6,8,10,9,8,10,10,8
20013,4,0,0,4,0,0,6,9,9,4,8,4,10
20014,0,4,7,7,0,0,9,5,6,4,8,6,6
20015,0,0,0,4,0,0,5,0,0,0,8,4,4
20016,5,7,6,7,8,7,8,8,0,10,10,9,10
20017,0,0,6,0,0,0,6,4,7,10,9,8,8
20018,6,9,8,7,10,10,6,5,10,10,10,10,10
20019,0,0,4,5,0,0,6,6,10,4,10,4,8
20020,0,0,0,4,0,0,4,4,0,0,8,5,0
20021,5,6,5,4,0,4,4,0,6,7,9,7,4
20022,0,5,4,0,0,0,7,8,4,9,10,6,8
20023,7,10,8,6,10,9,8,8,10,10,10,8,10
20024,0,9,8,7,0,0,8,9,10,10,10,9,10
20025,0,0,0,0,5,4,6,8,7,9,10,8,8
20026,0,0,4,5,0,0,6,5,7,10,10,6,8
20027,0,0,0,0,0,0,4,4,0,0,0,0,0
20028,0,0,4,5,0,0,4,0,0,4,10,4,8
20029,5,7,7,5,5,4,8,7,4,4,10,6,4
20030,0,0,0,0,0,0,4,0,0,0,8,4,0
20031,5,8,0,5,7,4,6,5,0,4,9,4,8
20032,6,8,7,5,7,7,9,10,4,8,10,9,8
20033,0,0,0,4,0,0,4,7,7,8,9,5,4
20034,4,0,4,5,0,5,6,8,4,4,9,9,0
20035,10,8,8,5,8,7,9,10,8,10,10,10,10
20036,5,5,4,5,0,0,5,4,8,4,8,4,8
20037,8,8,7,5,9,7,8,10,9,9,9,10,8
20038,8,8,10,8,10,9,10,8,10,10,10,10,10
20039,5,5,7,7,5,4,8,4,7,10,10,10,10
20040,5,5,8,8,0,4,7,4,9,4,9,8,9
20041,6,7,8,5,5,6,6,6,4,10,8,9,9
20042,7,9,10,6,7,10,8,8,10,10,10,10,10
20043,0,4,4,4,0,0,5,9,8,9,8,5,10
20044,9,10,10,7,10,10,10,10,10,10,10,10,10
20045,6,7,6,4,0,5,8,6,8,6,9,8,9
20046,0,0,4,0,0,0,5,9,0,6,8,4,5
20047,5,6,7,5,6,8,6,9,7,10,10,8,10
20048,5,8,7,5,5,5,6,9,9,10,10,8,10
20049,0,0,0,0,0,0,6,7,4,0,4,8,8
20050,7,8,6,6,4,6,9,9,4,5,8,10,8
20051,0,0,4,5,0,0,7,4,0,10,9,6,4
20052,6,9,9,7,10,10,9,9,10,10,10,10,10
20053,4,0,6,5,0,6,8,9,0,4,10,5,4
20054,5,10,10,8,5,8,8,8,10,10,10,9,10
20055,5,10,9,7,5,7,9,8,10,10,10,9,10
20056,8,8,9,7,10,10,8,10,10,10,9,10,10
20057,5,5,6,5,5,6,8,10,4,4,10,10,4
20058,4,0,5,5,0,5,7,7,6,5,10,6,0
20059,4,4,5,6,0,0,7,6,0,4,10,6,4
20060,0,4,6,0,0,0,5,6,8,4,10,7,4
20061,10,10,10,7,10,10,10,10,10,10,10,10,10
20062,0,0,0,0,0,0,5,4,0,4,8,5,0
20063,7,7,8,6,0,4,8,10,8,10,9,6,4
20064,5,5,7,6,4,5,7,6,8,10,10,10,10
20065,10,9,8,6,8,5,9,10,4,8,10,10,6
20066,0,0,0,0,0,0,4,6,0,0,8,0,0
20067,7,6,6,6,6,8,8,10,6,9,10,9,10
20068,5,6,5,5,7,9,6,8,6,10,9,9,10
20069,6,4,4,0,5,9,6,9,7,10,8,9,8
