Seat No,POS,LAG,DS,ADC,JAVA,WET,CCW,POSPR,LAGPR,DSPR,ADCPR,JAVPR,WTPR
25001,5,8,7,6,6,6,6,8,10,10,10,6,10
25002,10,10,8,9,10,10,7,10,10,10,10,10,10
25003,0,6,0,0,0,0,4,7,6,7,8,0,4
25004,7,10,6,6,6,8,5,10,10,8,10,8,10
25005,5,8,5,5,4,7,6,10,8,8,4,4,5
25006,7,10,6,6,4,5,6,10,10,10,10,8,8
25007,5,10,6,6,7,8,7,10,9,4,10,0,8
25008,8,10,8,8,9,10,8,10,10,10,10,10,10
25009,4,8,5,4,4,6,5,10,10,9,9,8,8
25010,5,10,6,7,9,8,7,10,10,10,7,10,10
25011,5,8,5,4,4,6,6,6,5,8,6,4,4
25012,4,8,0,5,0,6,0,10,10,8,9,0,8
25013,5,8,6,6,6,7,7,10,10,6,6,4,10
25014,4,9,7,5,6,7,6,10,8,10,10,9,10
25015,4,10,7,5,5,8,6,10,10,10,10,9,10
25016,0,0,0,0,0,0,0,0,0,0,0,0,0
25017,8,10,8,7,8,10,7,10,10,0,10,9,8
25018,8,10,9,9,10,10,8,10,10,10,10,10,10
25019,6,8,6,8,8,8,5,10,10,10,10,10,10
25020,6,10,5,6,7,8,8,7,10,0,9,4,9
25021,9,10,10,9,10,10,8,10,10,10,10,10,10
25022,4,6,8,7,6,8,6,10,10,9,8,6,7
25023,6,10,7,5,4,8,6,9,10,7,9,0,8
25024,7,9,6,5,0,7,6,10,6,6,6,6,8
25025,7,10,8,7,5,8,4,10,10,10,10,0,8
25026,0,0,0,0,0,0,4,7,9,4,0,0,4
25027,5,10,5,5,6,7,6,8,10,4,9,8,4
25028,5,9,5,6,0,5,5,7,10,0,9,9,10
25029,6,10,4,7,6,8,8,10,8,4,8,5,10
25030,4,8,0,5,0,6,6,6,6,4,8,0,8
25031,4,8,5,0,0,4,5,7,10,5,6,8,8
25032,6,10,5,8,10,8,6,10,10,8,10,7,10
25033,4,10,5,5,7,8,6,10,6,8,10,9,9
25034,7,10,9,8,10,10,7,10,10,10,10,10,10
25035,0,9,4,5,6,6,6,10,10,9,10,4,9
25036,4,10,5,6,6,5,5,10,10,10,10,5,8
25037,4,7,4,6,5,7,4,10,10,5,8,0,4
25038,4,8,5,6,5,6,5,9,9,4,8,0,9
25039,4,4,4,6,5,6,5,6,10,5,10,8,8
25040,4,9,4,5,0,4,4,7,9,0,6,6,7
25041,9,10,8,9,10,9,9,10,10,10,10,10,10
25042,0,4,0,4,0,5,5,9,8,0,6,0,6
25043,0,4,5,5,0,0,4,6,9,7,4,0,6
25044,4,8,5,5,0,5,4,10,10,10,9,7,8
25045,4,8,5,4,0,6,4,4,10,6,6,4,8
25046,6,10,7,9,9,8,7,10,10,10,10,10,10
25047,4,8,8,6,4,7,7,10,10,10,9,0,8
25048,5,10,8,8,9,9,8,10,10,10,10,10,9
25049,4,8,8,6,6,7,8,10,10,9,10,4,10
25050,6,10,6,8,6,8,8,10,10,10,10,7,10
25051,0,0,0,0,0,0,0,0,0,0,4,0,4
25052,4,9,4,6,0,5,7,4,9,4,8,4,4
