Seat No,POS,LAG,DS,ADC,JAVA,WET,CCW,POSPR,LAGPR,DSPR,ADCPR,JAVPR,WTPR,Total
25001,45,64,56,51,53,51,51,32,43,46,49,25,38,604
25002,79,94,66,74,84,88,55,49,47,49,49,50,49,833
25003,29,53,32,37,28,29,41,28,27,28,30,10,22,394
25004,58,91,50,52,51,61,45,41,48,33,48,33,48,659
25005,49,64,49,45,44,56,54,40,30,30,20,21,24,526
25006,58,86,50,53,44,47,51,49,46,40,47,32,33,636
25007,46,84,51,50,56,60,59,47,38,22,40,10,33,596
25008,62,83,60,68,73,88,64,49,48,45,49,38,44,771
25009,43,67,47,40,44,53,46,49,47,35,35,30,32,568
25010,48,92,53,57,76,67,55,47,46,40,28,38,47,694
25011,49,63,48,44,41,53,50,27,23,30,25,22,20,495
25012,44,63,32,45,26,52,16,48,41,30,35,10,33,475
25013,49,61,54,50,50,56,57,45,38,25,25,20,39,569
25014,43,76,58,48,53,55,54,37,33,38,48,35,47,625
25015,41,78,56,49,48,60,51,47,46,40,38,38,46,638
25016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25017,64,91,63,55,64,80,57,47,47,12,47,35,31,693
25018,61,92,71,73,84,87,62,48,48,49,49,50,48,822
25019,50,60,50,63,66,64,49,49,41,45,49,40,48,674
25020,54,81,48,53,56,64,65,28,41,10,38,20,39,597
25021,70,94,80,72,87,90,69,49,48,49,49,50,49,856
25022,42,52,60,59,51,66,52,45,44,35,34,26,28,594
25023,54,93,55,45,43,65,54,35,45,28,35,10,33,595
25024,59,73,50,49,33,59,51,40,26,25,25,25,31,546
25025,57,88,67,57,46,69,43,49,48,43,48,10,32,657
25026,27,25,32,22,24,32,40,28,35,20,12,3,20,320
25027,48,82,48,48,50,59,52,30,47,20,35,32,22,573
25028,45,71,48,50,34,49,46,28,41,12,37,35,41,537
25029,54,80,44,59,50,69,64,48,34,20,30,24,37,613
25030,41,63,32,49,29,52,50,27,26,22,32,9,30,462
25031,40,61,46,25,35,43,46,29,40,24,27,32,32,480
25032,52,88,48,61,82,68,54,49,48,30,43,28,46,697
25033,41,80,49,46,57,69,51,40,25,30,48,35,35,606
25034,55,94,73,66,87,78,57,49,48,48,49,50,45,799
25035,29,77,44,48,51,50,54,48,47,38,46,20,39,591
25036,41,86,49,51,52,46,46,47,46,38,48,24,32,606
25037,44,57,44,52,47,55,44,40,46,24,34,14,20,521
25038,42,65,45,51,49,50,47,38,37,20,33,13,39,529
25039,40,40,40,52,47,54,45,27,37,23,37,33,31,506
25040,41,73,44,46,26,43,43,28,39,12,27,27,29,478
25041,71,90,63,75,85,76,73,48,48,49,49,50,48,825
25042,29,41,34,40,23,45,48,35,32,6,26,6,25,390
25043,25,44,46,49,25,16,43,27,37,28,20,10,25,395
25044,42,60,45,47,32,45,40,42,45,45,37,29,32,541
25045,40,62,45,43,22,53,44,20,45,25,25,20,33,477
25046,51,81,57,70,71,64,55,49,48,49,48,50,48,741
25047,40,61,64,52,43,58,56,40,43,40,37,13,34,581
25048,47,92,63,66,70,70,60,49,48,38,47,50,35,735
25049,40,63,60,52,54,59,62,49,47,35,46,20,37,624
25050,53,89,53,62,50,61,61,49,48,48,49,28,45,696
25051,11,33,11,13,11,13,10,6,7,7,20,8,20,170
25052,40,74,44,50,24,45,56,22,35,20,30,20,20,480
