Seat No,PP,PP PR,DS,DS PR,CN,CN PR,AM,MPPR,OS,OS PP
24001,6,4,8,8,8,8,4,8,5,8
24002,6,10,8,8,7,8,4,10,5,10
24003,9,10,10,10,10,10,8,10,9,10
24004,8,10,7,8,4,4,4,10,6,10
24005,8,6,8,8,8,6,5,8,4,10
24006,9,10,8,9,6,4,4,10,4,10
24007,9,10,9,10,9,10,8,10,10,10
24008,6,9,0,6,0,8,0,8,0,10
24009,0,8,6,4,5,5,4,8,4,8
24010,0,4,0,4,0,4,0,4,0,6
24011,10,10,9,10,8,10,5,10,8,10
24012,5,10,4,6,5,6,4,10,4,10
24013,9,9,9,9,6,10,4,10,7,10
24014,10,10,9,10,10,10,5,10,9,10
24015,5,6,8,9,6,9,0,9,4,10
24016,0,6,4,4,4,8,4,8,4,8
24017,9,8,8,7,7,10,5,10,6,10
24018,8,4,4,0,5,4,4,8,4,4
24019,0,0,0,6,4,4,0,8,4,10
24020,10,10,8,10,7,10,6,7,6,10
24021,0,5,4,4,8,6,0,8,4,10
24022,5,5,4,4,5,6,0,10,5,10
24023,5,4,4,7,5,6,0,8,4,5
24024,8,8,4,4,7,9,4,5,6,8
24025,0,0,0,0,0,0,0,0,0,0
24026,0,0,0,0,0,0,0,0,0,0
24027,6,10,5,10,8,10,7,10,5,10
24028,0,0,0,4,0,0,0,4,0,5
24029,7,9,8,4,8,10,4,10,8,8
24030,9,10,10,10,10,10,7,10,10,10
24031,0,8,4,0,5,4,0,6,4,10
24032,8,10,8,10,9,10,4,10,6,10
24033,4,8,4,4,7,10,4,9,4,10
24034,9,10,6,4,8,10,4,8,8,10
24035,7,10,6,4,8,10,0,9,6,10
24036,9,10,8,10,10,8,4,10,7,10
24037,10,9,9,9,10,10,4,10,8,10
24038,6,9,5,4,5,10,0,10,4,10
24039,7,10,6,6,7,10,4,8,7,10
24040,10,10,8,10,7,10,4,10,8,10
24041,10,10,9,10,9,10,7,10,8,10
24042,8,10,8,4,8,10,4,8,4,10
24043,6,10,4,4,5,10,4,9,4,10
24044,8,10,8,8,10,10,4,10,6,10
24045,4,4,4,5,5,5,0,9,0,9
24046,8,10,9,10,6,10,0,10,5,10
24047,8,10,7,6,7,9,0,9,8,10
24048,5,4,7,4,6,10,4,6,7,6
24049,0,6,4,4,0,10,0,5,4,6
24050,7,9,4,6,6,6,4,9,4,10
24051,0,9,5,0,5,0,4,8,4,9
24052,0,9,0,4,0,6,0,8,0,10
24053,8,8,7,8,8,5,0,9,5,5
24054,4,4,4,4,0,6,0,8,0,9
24055,4,9,4,4,0,8,4,10,0,8
24056,8,10,8,6,8,10,7,10,7,10
24057,4,7,8,0,7,8,0,9,4,10
24058,7,10,8,10,6,10,4,8,4,6
24059,9,10,10,10,10,10,9,10,10,10
24060,4,10,5,9,4,5,0,4,4,8
24061,0,8,0,4,0,4,0,4,0,10
24062,9,10,8,10,8,10,6,10,7,10
24063,6,4,6,4,6,9,0,6,0,6
24064,4,9,8,10,6,10,4,10,6,10
24065,10,10,10,10,10,10,4,10,9,10
24066,6,10,7,10,4,10,4,10,4,10
24067,5,10,4,4,0,8,0,8,0,7
24068,8,10,7,10,6,10,0,10,8,10
24069,7,10,5,6,7,10,0,10,6,10
24070,9,10,9,10,9,10,4,10,8,10
24071,5,10,4,8,5,6,0,9,5,10
24072,10,10,10,10,10,10,6,10,10,10
24073,9,10,10,10,10,10,8,10,10,10
24074,6,8,7,9,9,8,0,10,8,10
24075,0,6,0,8,0,0,4,8,4,8
24076,9,10,10,10,10,10,7,10,9,10
24077,4,9,8,4,8,4,0,7,5,8
24078,0,8,5,8,6,8,0,7,5,10
24079,8,10,9,10,9,10,5,10,8,10
24080,6,4,4,10,7,10,0,10,6,8
24081,5,10,0,10,5,9,4,9,4,5
24082,0,6,6,4,7,4,0,8,0,6
24083,4,10,4,0,6,4,0,10,6,10
24084,5,10,8,4,8,10,4,10,5,10
24085,7,10,5,10,7,10,4,7,5,10
24086,6,10,6,6,9,10,5,10,6,10
24087,8,8,5,9,8,10,4,10,8,8
24088,10,10,8,10,8,10,5,10,6,10
24089,10,10,8,10,10,10,9,10,10,10
24090,7,10,7,10,8,10,8,10,8,10
24091,8,10,4,6,8,10,4,9,5,10
24092,0,5,4,0,6,0,0,7,0,0
24093,4,6,4,4,4,9,0,9,4,10
24094,10,10,9,10,9,10,4,10,8,10
24095,7,4,5,7,8,10,4,10,6,10
24096,10,10,10,10,10,10,8,10,7,10
24097,6,0,8,6,9,7,4,9,7,6
24098,0,0,0,0,0,0,0,4,0,0
24099,4,0,6,0,8,0,0,8,6,0
24100,4,0,6,6,5,9,0,8,4,10
24101,6,4,8,7,7,8,4,10,6,10
24102,5,0,0,0,4,0,0,8,0,10
24103,9,10,10,10,10,10,4,10,10,10
24104,7,8,8,4,9,6,4,10,6,4
24105,7,6,8,8,6,10,5,10,4,10
24106,8,10,8,10,6,10,4,10,5,10
24107,0,8,6,8,7,8,4,10,4,10
24108,0,6,8,6,6,9,8,10,4,10
24109,4,6,4,7,6,10,6,10,0,8
24110,0,10,0,7,4,8,4,8,0,10
24111,0,8,0,4,0,8,0,6,0,9
24112,0,4,4,0,5,4,0,6,4,9
